subj_idx,isblow,pump_idx,choice,reward,reaction_time,trial,HE,PCPP
777511.0,0.0,1.0,1.0,1.0,475.0,1.0,0.0,0.0
777511.0,0.0,2.0,1.0,2.0,473.0,1.0,0.0,0.0
777511.0,0.0,3.0,1.0,3.0,376.0,1.0,0.0,0.0
777511.0,0.0,4.0,1.0,4.0,589.0,1.0,0.0,0.0
777511.0,0.0,5.0,1.0,5.0,544.0,1.0,0.0,0.0
777511.0,0.0,6.0,1.0,6.0,579.0,1.0,0.0,1.0
777511.0,1.0,7.0,1.0,0.0,415.0,1.0,0.0,0.0
777511.0,0.0,1.0,1.0,1.0,555.0,2.0,5.0,0.0
777511.0,0.0,2.0,1.0,2.0,316.0,2.0,5.0,0.0
777511.0,0.0,3.0,1.0,3.0,461.0,2.0,5.0,0.0
777511.0,0.0,4.0,1.0,4.0,459.0,2.0,5.0,0.0
777511.0,0.0,5.0,1.0,5.0,326.0,2.0,5.0,0.0
777511.0,0.0,6.0,1.0,6.0,476.0,2.0,5.0,2.0
777511.0,0.0,7.0,0.0,7.0,288.0,2.0,5.0,0.0
777511.0,0.0,1.0,1.0,1.0,405.0,3.0,3.0,0.0
777511.0,0.0,2.0,1.0,2.0,394.0,3.0,3.0,0.0
777511.0,0.0,3.0,1.0,3.0,366.0,3.0,3.0,0.0
777511.0,0.0,4.0,1.0,4.0,664.0,3.0,3.0,0.0
777511.0,0.0,5.0,1.0,5.0,352.0,3.0,3.0,0.0
777511.0,0.0,6.0,1.0,6.0,400.0,3.0,3.0,1.0
777511.0,1.0,7.0,1.0,0.0,465.0,3.0,3.0,0.0
777511.0,0.0,1.0,1.0,1.0,729.0,4.0,5.0,0.0
777511.0,0.0,2.0,1.0,2.0,425.0,4.0,5.0,0.0
777511.0,0.0,3.0,1.0,3.0,1951.0,4.0,5.0,0.0
777511.0,0.0,4.0,1.0,4.0,972.0,4.0,5.0,0.0
777511.0,0.0,5.0,1.0,5.0,570.0,4.0,5.0,0.0
777511.0,0.0,6.0,1.0,6.0,622.0,4.0,5.0,1.0
777511.0,1.0,7.0,1.0,0.0,394.0,4.0,5.0,0.0
777511.0,0.0,1.0,1.0,1.0,806.0,5.0,5.0,0.0
777511.0,0.0,2.0,1.0,2.0,1913.0,5.0,5.0,0.0
777511.0,0.0,3.0,1.0,3.0,478.0,5.0,5.0,0.0
777511.0,0.0,4.0,1.0,4.0,634.0,5.0,5.0,0.0
777511.0,0.0,5.0,1.0,5.0,725.0,5.0,5.0,0.0
777511.0,0.0,6.0,1.0,6.0,515.0,5.0,5.0,2.0
777511.0,0.0,7.0,0.0,7.0,633.0,5.0,5.0,0.0
777511.0,0.0,1.0,1.0,1.0,634.0,6.0,3.0,0.0
777511.0,0.0,2.0,1.0,2.0,576.0,6.0,3.0,0.0
777511.0,0.0,3.0,1.0,3.0,458.0,6.0,3.0,0.0
777511.0,0.0,4.0,1.0,4.0,432.0,6.0,3.0,0.0
777511.0,0.0,5.0,1.0,5.0,464.0,6.0,3.0,2.0
777511.0,0.0,6.0,0.0,6.0,1101.0,6.0,3.0,0.0
777511.0,0.0,1.0,1.0,1.0,1454.0,7.0,3.0,0.0
777511.0,0.0,2.0,1.0,2.0,519.0,7.0,3.0,0.0
777511.0,0.0,3.0,1.0,3.0,1054.0,7.0,3.0,0.0
777511.0,0.0,4.0,1.0,4.0,862.0,7.0,3.0,0.0
777511.0,0.0,5.0,1.0,5.0,668.0,7.0,3.0,1.0
777511.0,1.0,6.0,1.0,0.0,1266.0,7.0,3.0,0.0
777511.0,0.0,1.0,1.0,1.0,692.0,8.0,5.0,0.0
777511.0,0.0,2.0,1.0,2.0,455.0,8.0,5.0,0.0
777511.0,0.0,3.0,1.0,3.0,915.0,8.0,5.0,0.0
777511.0,0.0,4.0,1.0,4.0,376.0,8.0,5.0,2.0
777511.0,0.0,5.0,0.0,5.0,1975.0,8.0,5.0,0.0
777511.0,0.0,1.0,1.0,1.0,890.0,9.0,3.0,0.0
777511.0,0.0,2.0,1.0,2.0,584.0,9.0,3.0,0.0
777511.0,0.0,3.0,1.0,3.0,640.0,9.0,3.0,2.0
777511.0,0.0,4.0,0.0,4.0,797.0,9.0,3.0,0.0
777511.0,0.0,1.0,1.0,1.0,459.0,10.0,3.0,0.0
777511.0,0.0,2.0,1.0,2.0,380.0,10.0,3.0,0.0
777511.0,0.0,3.0,1.0,3.0,907.0,10.0,3.0,1.0
777511.0,1.0,4.0,1.0,0.0,442.0,10.0,3.0,0.0
777511.0,0.0,1.0,1.0,1.0,500.0,11.0,5.0,0.0
777511.0,0.0,2.0,1.0,2.0,770.0,11.0,5.0,0.0
777511.0,0.0,3.0,1.0,3.0,581.0,11.0,5.0,2.0
777511.0,0.0,4.0,0.0,4.0,1447.0,11.0,5.0,0.0
777511.0,0.0,1.0,1.0,1.0,832.0,12.0,3.0,0.0
777511.0,0.0,2.0,0.0,2.0,1475.0,12.0,3.0,0.0
777511.0,0.0,1.0,1.0,1.0,778.0,13.0,3.0,0.0
777511.0,0.0,2.0,0.0,2.0,603.0,13.0,3.0,0.0
777511.0,0.0,1.0,1.0,1.0,1268.0,14.0,3.0,0.0
777511.0,0.0,2.0,1.0,2.0,895.0,14.0,3.0,0.0
777611.0,0.0,1.0,1.0,1.0,478.0,1.0,0.0,0.0
777611.0,0.0,2.0,1.0,2.0,368.0,1.0,0.0,0.0
777611.0,0.0,3.0,1.0,3.0,404.0,1.0,0.0,0.0
777611.0,0.0,4.0,1.0,4.0,295.0,1.0,0.0,0.0
777611.0,0.0,5.0,1.0,5.0,463.0,1.0,0.0,0.0
777611.0,0.0,6.0,1.0,6.0,342.0,1.0,0.0,1.0
777611.0,1.0,7.0,1.0,0.0,351.0,1.0,0.0,0.0
777611.0,0.0,1.0,1.0,1.0,630.0,2.0,5.0,0.0
777611.0,0.0,2.0,1.0,2.0,323.0,2.0,5.0,0.0
777611.0,0.0,3.0,1.0,3.0,266.0,2.0,5.0,0.0
777611.0,0.0,4.0,1.0,4.0,401.0,2.0,5.0,0.0
777611.0,0.0,5.0,1.0,5.0,350.0,2.0,5.0,0.0
777611.0,0.0,6.0,1.0,6.0,449.0,2.0,5.0,2.0
777611.0,0.0,7.0,0.0,7.0,330.0,2.0,5.0,0.0
777611.0,0.0,1.0,1.0,1.0,781.0,3.0,3.0,0.0
777611.0,0.0,2.0,1.0,2.0,339.0,3.0,3.0,0.0
777611.0,0.0,3.0,1.0,3.0,398.0,3.0,3.0,0.0
777611.0,0.0,4.0,1.0,4.0,412.0,3.0,3.0,0.0
777611.0,0.0,5.0,1.0,5.0,345.0,3.0,3.0,0.0
777611.0,0.0,6.0,1.0,6.0,452.0,3.0,3.0,2.0
777611.0,0.0,7.0,0.0,7.0,351.0,3.0,3.0,0.0
777611.0,0.0,1.0,1.0,1.0,565.0,4.0,3.0,0.0
777611.0,0.0,2.0,1.0,2.0,386.0,4.0,3.0,0.0
777611.0,0.0,3.0,1.0,3.0,362.0,4.0,3.0,0.0
777611.0,0.0,4.0,1.0,4.0,455.0,4.0,3.0,0.0
777611.0,0.0,5.0,1.0,5.0,481.0,4.0,3.0,0.0
777611.0,0.0,6.0,1.0,6.0,372.0,4.0,3.0,2.0
