PID,Trial,Index,RT,HE,PCPP
777511,1.0,1,475.0,0.0,0
777511,1.0,2,473.0,0.0,0
777511,1.0,3,376.0,0.0,0
777511,1.0,4,589.0,0.0,0
777511,1.0,5,544.0,0.0,0
777511,1.0,6,579.0,0.0,1
777511,1.0,7,415.0,0.0,0
777511,2.0,1,555.0,5.0,0
777511,2.0,2,316.0,5.0,0
777511,2.0,3,461.0,5.0,0
777511,2.0,4,459.0,5.0,0
777511,2.0,5,326.0,5.0,0
777511,2.0,6,476.0,5.0,2
777511,2.0,7,288.0,5.0,0
777511,3.0,1,405.0,3.0,0
777511,3.0,2,394.0,3.0,0
777511,3.0,3,366.0,3.0,0
777511,3.0,4,664.0,3.0,0
777511,3.0,5,352.0,3.0,0
777511,3.0,6,400.0,3.0,1
777511,3.0,7,465.0,3.0,0
777511,4.0,1,729.0,5.0,0
777511,4.0,2,425.0,5.0,0
777511,4.0,3,1951.0,5.0,0
777511,4.0,4,972.0,5.0,0
777511,4.0,5,570.0,5.0,0
777511,4.0,6,622.0,5.0,1
777511,4.0,7,394.0,5.0,0
777511,5.0,1,806.0,5.0,0
777511,5.0,2,1913.0,5.0,0
777511,5.0,3,478.0,5.0,0
777511,5.0,4,634.0,5.0,0
777511,5.0,5,725.0,5.0,0
777511,5.0,6,515.0,5.0,2
777511,5.0,7,633.0,5.0,0
777511,6.0,1,634.0,3.0,0
777511,6.0,2,576.0,3.0,0
777511,6.0,3,458.0,3.0,0
777511,6.0,4,432.0,3.0,0
777511,6.0,5,464.0,3.0,2
777511,6.0,6,1101.0,3.0,0
777511,7.0,1,1454.0,3.0,0
777511,7.0,2,519.0,3.0,0
777511,7.0,3,1054.0,3.0,0
777511,7.0,4,862.0,3.0,0
777511,7.0,5,668.0,3.0,1
777511,7.0,6,1266.0,3.0,0
777511,8.0,1,692.0,5.0,0
777511,8.0,2,455.0,5.0,0
777511,8.0,3,915.0,5.0,0
777511,8.0,4,376.0,5.0,2
777511,8.0,5,1975.0,5.0,0
777511,9.0,1,890.0,3.0,0
777511,9.0,2,584.0,3.0,0
777511,9.0,3,640.0,3.0,2
777511,9.0,4,797.0,3.0,0
777511,10.0,1,459.0,3.0,0
777511,10.0,2,380.0,3.0,0
777511,10.0,3,907.0,3.0,1
777511,10.0,4,442.0,3.0,0
777511,11.0,1,500.0,5.0,0
777511,11.0,2,770.0,5.0,0
777511,11.0,3,581.0,5.0,2
777511,11.0,4,1447.0,5.0,0
777511,12.0,1,832.0,3.0,0
777511,12.0,2,1475.0,3.0,0
777511,13.0,1,778.0,3.0,0
777511,13.0,2,603.0,3.0,0
777511,14.0,1,1268.0,3.0,0
777511,14.0,2,895.0,3.0,0
777611,1.0,1,478.0,0.0,0
777611,1.0,2,368.0,0.0,0
777611,1.0,3,404.0,0.0,0
777611,1.0,4,295.0,0.0,0
777611,1.0,5,463.0,0.0,0
777611,1.0,6,342.0,0.0,1
777611,1.0,7,351.0,0.0,0
777611,2.0,1,630.0,5.0,0
777611,2.0,2,323.0,5.0,0
777611,2.0,3,266.0,5.0,0
777611,2.0,4,401.0,5.0,0
777611,2.0,5,350.0,5.0,0
777611,2.0,6,449.0,5.0,2
777611,2.0,7,330.0,5.0,0
777611,3.0,1,781.0,3.0,0
777611,3.0,2,339.0,3.0,0
777611,3.0,3,398.0,3.0,0
777611,3.0,4,412.0,3.0,0
