PID,Trial,Index,RT,HE,PCPP
783311,1.0,1,655.0,0.0,0
783311,1.0,2,417.0,0.0,0
783311,1.0,3,395.0,0.0,0
783311,1.0,4,446.0,0.0,0
783311,1.0,5,344.0,0.0,1
783311,1.0,6,305.0,0.0,0
783311,2.0,1,560.0,5.0,0
783311,2.0,2,315.0,5.0,0
783311,2.0,3,408.0,5.0,0
783311,2.0,4,297.0,5.0,0
783311,2.0,5,472.0,5.0,2
783311,2.0,6,383.0,5.0,0
783311,3.0,1,621.0,3.0,0
783311,3.0,2,451.0,3.0,0
783311,3.0,3,374.0,3.0,0
783311,3.0,4,554.0,3.0,0
783311,3.0,5,315.0,3.0,2
783311,3.0,6,338.0,3.0,0
783311,4.0,1,770.0,3.0,0
783311,4.0,2,396.0,3.0,0
783311,4.0,3,498.0,3.0,0
783311,4.0,4,595.0,3.0,1
783311,4.0,5,1021.0,3.0,0
783311,5.0,1,1097.0,5.0,0
783311,5.0,2,582.0,5.0,0
783311,5.0,3,465.0,5.0,0
783311,5.0,4,356.0,5.0,2
783311,5.0,5,721.0,5.0,0
783311,6.0,1,738.0,3.0,0
783311,6.0,2,394.0,3.0,0
783311,6.0,3,420.0,3.0,0
783311,6.0,4,676.0,3.0,2
783311,6.0,5,420.0,3.0,0
783311,7.0,1,472.0,3.0,0
783311,7.0,2,297.0,3.0,0
783311,7.0,3,2939.0,3.0,2
783311,7.0,4,539.0,3.0,0
783311,8.0,1,2179.0,3.0,0
783311,8.0,2,490.0,3.0,0
783311,8.0,3,398.0,3.0,2
783311,8.0,4,378.0,3.0,0
783311,9.0,1,841.0,3.0,0
783311,9.0,2,742.0,3.0,0
783311,9.0,3,324.0,3.0,2
783311,9.0,4,332.0,3.0,0
783311,10.0,1,531.0,3.0,0
783311,10.0,2,419.0,3.0,0
783311,10.0,3,510.0,3.0,2
783311,10.0,4,1175.0,3.0,0
783311,11.0,1,668.0,3.0,0
783311,11.0,2,485.0,3.0,2
783311,11.0,3,505.0,3.0,0
783311,12.0,1,622.0,3.0,0
783311,12.0,2,546.0,3.0,1
783311,12.0,3,383.0,3.0,0
783311,13.0,1,1901.0,5.0,0
783311,13.0,2,525.0,5.0,0
783311,14.0,1,1203.0,5.0,0
783311,14.0,2,420.0,5.0,2
783311,14.0,3,368.0,5.0,0
783311,15.0,1,477.0,3.0,0
783311,15.0,2,487.0,3.0,2
783311,15.0,3,306.0,3.0,0
783311,16.0,1,454.0,3.0,0
783311,16.0,2,432.0,3.0,2
783311,16.0,3,261.0,3.0,0
783311,17.0,1,1261.0,3.0,0
